ID;Question;Answer;Source_Note_or_URL;;
1;Hey, I'm thinking of applying for a resident parking permit in Amsterdam. Is it a must for me to be officially registered at my Amsterdam address?;Yes, you must meet certain conditions, and one of these conditions is that you are registered at the address for which you are applying for the permit.;"URL1 (from ""You must meet these conditions"" section)";;
2;What's the rule about car ownership for the resident parking permit? Does the car *have* to be in my name?;The car should be registered in your name, or you need to be the only user of the lease, hire, or company car for which you are applying.;"URL1 (from ""You must meet these conditions"" section)";;
3;My car has foreign license plates. Can I still apply for a resident parking permit in Amsterdam, or is it only for Dutch cars?;Yes, the vehicle may also have a non-Dutch registration number.;"URL1 (from ""You must meet these conditions"" section)";;
4;I've heard there are some environmental rules for cars. If I have a diesel car, what emission standard does it need to meet for a parking permit?;For diesel cars, your vehicle must meet emission standard 5 or higher.;"URL1 (from ""Your vehicle must meet the environmental requirements"" section)";;
5;I'm looking at moving into a brand-new apartment building in Amsterdam. Will I be able to get a resident parking permit there?;Parking permits are never available for new-build projects. This also applies to large-scale renovation projects.;"URL1 (mentions ""new-build projects (in Dutch)"") & URL4 (confirms ""Bij nieuwbouwprojecten...geven wij geen parkeervergunningen meer af"")";;
6;What if I already have a garage or a place to park at my home? Can I still apply for a resident parking permit?;You cannot already have an available parking space. You also cannot apply for a parking permit if you have, or have had in the past, the possibility of buying or renting your own parking space. Own parking space(s) are deducted from the maximum number of permits you can get. If the outcome is zero, you will not receive a parking permit.;"URL1 (from ""In some parts of Amsterdam..."" section and ""Parking space at your house"" section)";;
7;I have a lease car directly from a leasing company. What kind of documents would I need to show when applying for the permit?;If you lease or rent the car directly from a leasing or rental company, you have to scan and upload a copy of the lease contract or agreement (maximum of 1 year old), or a copy of the declaration of the lease (maximum of 1 month old).;"URL1 (from ""A lease car or a rental car"" section under ""What you need to apply"")";;
8;How do I actually start the application process online for the resident parking permit?;To apply online, you log in with DigiD. You'll then fill in a number of details.;"URL1 (from ""Apply"" section)";;
9;I'd prefer to apply by mail for the parking permit. Is that possible, and what's the first thing I need to do?;Yes, you can use a paper form to apply. First, you'll need to collect all the necessary documents and make copies, then print the application form for residents’ parking permits (PDF, 63 KB) and complete it.;"URL2 (from ""Here’s how it works"" section)";;
10;My car is in the garage for repairs for a few weeks, and I've got a loaner car from them. Do I need to do anything about my parking permit?;If you get a new car, or temporarily drive another car, you need to notify the municipality of the change of registration number. For a loan or rental car from a garage, you'll typically need a loan or rental agreement on official letterhead with details like the date, signature by the garage, your name, registration number of the loan car and your own car, and the reason (repair or damage).;"URL3 (from ""Temporary change of registration number"" and introductory paragraph)";;
11;"Hey, I want to apply for a resident permit, how do I do it? (Covers also ""Hello I help for parking permit"" and ""Can you help me applying for a resident parking permit?"")";You have two main ways to apply for a resident parking permit: 1. Online: Log in with your DigiD and fill in the details. 2. By post: Collect your necessary documents, print and complete the official application form, and then mail it.;"URL1 (""Apply"" section) & URL2 (""Here’s how it works"" section)";;
12;Hello, can you help me with everything I need if I want to apply for a parking permit as resident?;Generally, to get a resident parking permit in Amsterdam, you'll need to: 1. Be officially registered at an address in Amsterdam. 2. Ensure your vehicle (which can have foreign plates) meets environmental standards (e.g., diesel cars need emission standard 5+). 3. The vehicle should typically be in your name, or you're the sole user if it's leased or a company car. 4. Be aware that permits aren't usually available for new-builds, and having existing parking can affect eligibility. 5. Gather specific documents based on your car ownership (own, lease, company). 6. You can then apply online using DigiD or by post using a paper form.;Synthesized from URL1, URL2, URL4 & previous Q&A;;
13;What specific things do I need for an Amsterdam Resident parking permit?;"For an Amsterdam Resident parking permit, you primarily need to: be officially registered at the Amsterdam address for the permit; have a vehicle registered in your name or be the sole user of a lease/company car; ensure your car meets current environmental standards (e.g., emission standard 5 or higher for diesel cars); and generally, you cannot already have an available parking space. You'll also need specific documents depending on your car's ownership status.";"URL1 (various sections: ""You must meet these conditions"", ""environmental requirements"", ""Parking space at your house"", ""What you need to apply"")";;
14;I will move to Amsterdam in July. What will I need to do if I want to apply for a parking permit once I'm there?;Once you move to Amsterdam in July and are officially registered at your new Amsterdam address, that registration is the first key requirement. After that, you'll need to ensure your car meets the city's rules for ownership (e.g., in your name or a sole-user lease/company car) and the environmental standards. Then you can proceed with the application, usually online with DigiD or by post.;"URL1 (""You must meet these conditions"" section & ""Apply"" section)";;
15;What do I need if I want a parking permit or waiver for a blue zone?;For blue zones, you typically apply for a 'blue zone waiver' or 'ontheffing.' The requirements depend on your situation, such as whether you're a resident, a company, or receiving informal care. For residents, you generally need a car registered in your name (or a lease/company car) and be registered at an address in the blue zone area. Specific documents, like a lease agreement for a lease car, would be needed. The cost for a waiver in 2025 is €174.80.;"URL5 (from scraped_parking_permit_text.txt, section on ""Ontheffing blauwe zone aanvragen"")";;
16;I need a resident parking permit but somehow I can't apply for it, or my application might fail. Can you help me understand why?;"Common reasons you might not be able to get a resident parking permit, or why an application might not proceed, include: not being officially registered at the Amsterdam address for which you're applying; your vehicle not meeting the required environmental standards; issues with the vehicle's registration or lease/company car documentation; if you live in a new-build project (as permits are often not available for these); or if you already have access to a private parking space. It's important to check all these conditions on the municipality's website.";"URL1 (various sections: ""You must meet these conditions"", ""environmental requirements"", ""new-build projects"", ""Parking space at your house"") & URL4";;
17;I'm trying to gather my paperwork for the resident parking permit. Can you give me a complete list of every document I might need?;The specific documents you need for a resident parking permit depend on your individual situation. For example, if the vehicle is registered in your name, often no extra documents are needed for that. However, for a lease car, you'd need the lease contract. For a company car, you'd need things like a payslip and a declaration from your employer. It's best to check the official Amsterdam municipality website for the detailed list corresponding to whether it's your own vehicle, a lease car, a company car, or if you have special circumstances. This can be found here: https://www.amsterdam.nl/en/parking/apply-resident-parking-permit/#hc4a01595-cae9-4a72-a217-5d924770dd5d;"URL1 & URL2 (sections on ""What you need to apply"" from scraped_parking_permit_text.txt)";;
19;What is a resident parking permit, and what are my benefits with it?;With a parking permit, you can park in your permit area where paid parking is in force.;URL 1 (How to apply for a resident parking permit);;
20;What's the specific emission standard required for petrol cars if I want a resident parking permit?;For cars running on petrol or other non-diesel fuels, the emission standard must be 4 or higher.;URL1 (Environmental requirements section);;
21;If I live in Weesp, do the same rules about parking permits for new-build projects apply to me?;No, the rule stating that parking permits are not available for new-build projects does not apply to Weesp. ;"URL4 (""Adressen waar geen parkeervergunning mogelijk is"", Dutch section)";;
22;How can I check online if my specific Amsterdam address is excluded from getting a parking permit?;You can check if your address is excluded by using the 'Adreszoeker' (Address checker) for residents or companies available on the municipality's website. ;"URL4 (""Adressen waar geen parkeervergunning mogelijk is"", Dutch section)";;
23;If my new address isn't public yet because it's a new construction, how can I find out if it's eligible for a parking permit?;If your address is for a new construction and not yet public, it won't be in the 'Adreszoeker' yet. You can find these future addresses listed in an overview on the municipality's website, typically categorized by district (Stadsdeel).;"URL4 (""Adressen waar geen parkeervergunning mogelijk is"", Dutch section)";;
24;What are the specific office hours if I need to call the City of Amsterdam about my parking permit from within the Netherlands?;You can call the City of Amsterdam at 14 020 from Monday to Friday, between 08:00 and 18:00.;URL1 (Contact information section);;
25;If I'm applying for a resident parking permit by post and I have a car registered in my own name, do I still need to send a copy of my passport?;Yes, if you apply by post for your own car, you need to send a copy of your passport or ID card. If your citizen service number (BSN) is on the back, you should copy both sides.;"URL2 (""Applying by post for a residents’ parking permit"" - What you need / Your own car)";;
26;For a postal application, if my car's registration certificate isn't in the Latin alphabet, what do I need to provide?;If your car's registration certificate is not in the Latin alphabet, you must send a translation with your postal application.;"URL2 (""Applying by post for a residents’ parking permit"" - What you need / Your own car)";;
27;My employer leases my car, but I don't have a payslip yet because I just started. Can I submit my employment contract instead for the parking permit application?;Yes, if your employer leases or provides the company car and you don't have a payslip yet (for example, because you just started), you can send a copy of your employment contract instead.;"URL2 (""Applying by post..."" - Lease car or rental car / Company car sections)";;
28;If I own a company and the company car is registered in the company's name, are any extra documents needed for the resident parking permit application?;If you are the owner of the business and the car's registration number is in the name of the company, no additional documents are usually needed for the resident parking permit application.;URL1 & URL2 (sections for business owners with company-registered cars);;
29;If I apply for a parking permit by post, will I get a confirmation that my application was received?;No, if you apply by post, you will not receive a confirmation of receipt for your application.;"URL2 (""Applying by post..."" - Next steps section)";;
30;When does a parking permit obtained via postal application actually become valid?;If you apply by post, your parking permit becomes valid only after you have paid the applicable charges. You will find more information about this in the letter you receive.;"URL2 (""Applying by post..."" - Next steps section)";;
31;How long does it usually take for the municipality to process a change of vehicle registration number if the car is *not* registered in my name and I submitted the request before 4 PM?;If the car is not registered in your name and the request to change the registration number is received before 16:00 (4 PM), it is typically processed on the same day.;"URL3 (""Changing the registration number..."" - How long does a change take to process?)";;
32;My car was stolen. How old can the police report be when I apply for a temporary change of registration on my parking permit?;If your car was stolen, the police report you submit for a temporary change of registration on your parking permit should be a maximum of 1 month old.;"URL3 (""Changing the registration number..."" - Temporary car due to theft)";;
33;If I've temporarily changed my parking permit to a loaner car, do I need to do anything specific when I get my original car back within two weeks?;Yes, if you can use your own car again within 2 weeks after a temporary change, you should use the online form to return the permit to your original vehicle registration number.;"URL3 (""Changing the registration number..."" - Returning to your original vehicle registration number)";;
34;For a Blue Zone waiver as a resident, what's the maximum number of waivers I can get for my address?;As a resident, you can get a maximum of 2 Blue Zone waivers per address.;"URL5 (""Ontheffing blauwe zone aanvragen"" - Bewoners section, Dutch)";;
35;I'm a resident in a Blue Zone area with one car and my own private garage. Am I eligible for a Blue Zone waiver?;No, if you are a resident in a Blue Zone with one car and you have your own garage or parking space, you are not eligible for a Blue Zone waiver.;"URL5 (""Ontheffing blauwe zone aanvragen"" - Bewoners section, Dutch)";;
36;If my company is located in a Blue Zone, how is the number of Blue Zone waivers it can receive calculated in relation to its number of employees?;A company located in a Blue Zone can receive a maximum of 1 Blue Zone waiver per 5 employees.;"URL5 (""Ontheffing blauwe zone aanvragen"" - Bedrijven section, Dutch)";;
37;I receive informal care (mantelzorg) at my home in a Blue Zone. How many of my caregivers' car registration numbers can be listed on a single Blue Zone waiver?;If you receive informal care (mantelzorg) in a Blue Zone, you can get 1 waiver for caregivers, and a maximum of 3 caregivers' registration numbers can be listed on it.;"URL5 (""Ontheffing blauwe zone aanvragen"" - Bewoners die mantelzorg krijgen section, Dutch)";;
38;What's the additional fee if I choose to pay for a Blue Zone waiver by invoice instead of iDEAL in 2025?;If you choose to pay for a Blue Zone waiver by invoice (achteraf betalen) in 2025, there is an additional fee of €23.20.;"URL5 (""Ontheffing blauwe zone aanvragen"" - Kosten section, Dutch)";;
39;If my application for a Blue Zone waiver is rejected, do I still have to pay the application costs (leges)?;Yes, you always have to pay the costs for processing your application (leges), even if your application for a Blue Zone waiver is rejected.;"URL5 (""Ontheffing blauwe zone aanvragen"" - Kosten section, Dutch)";;
40;I don't have a payslip yet, what can I do now? I have a company car;"If you have a company car and don't have a payslip yet, you can send a copy of your employment contract instead. You will also need a statement from your employer, no older than 1 month, confirming that you are an employee of the company and the only employee permitted to drive the car.

If the car's registration is in the name of a company partner or director (and not the company itself), you would additionally need a copy of the passport or ID card of that owner.";URL 2;;
41;I'm a refugee from ukraine, how do I apply for these things;Are you a Ukrainian refugee residing at a shelter? Or at an address where a parking permit is already in use? Please send the form to ua.parking@amsterdam.nl.;URL 2;;
42;Hey, I couldn't really find what I was looking for, can you provide me with a contact or phone number?;"Yes, here is the contact information of the City of Amsterdam
Call us at 14 020
Monday to Friday from 08.00 to 18.00.
(From abroad: +31 20 624 1111)";URL 2;;
43;If I have a lease car that's not in my name (e.g., through my employer), what's the maximum age for the lease agreement or lease declaration I need to provide for the permit application?;If you have a lease car not in your name, the lease or rental agreement with your employer's name should be a maximum of 1 year old, or the lease declaration with your employer's name should be a maximum of 1 month old.;"URL1 (""A lease car or a rental car"" - If you have a rental car or lease car that is not in your name) & URL2 (""Lease car or rental car"" - Your name is NOT on the contract)";;
44;For a company car where the registration is in the employer's name, what's the maximum age for the employer's declaration statement?;For a company car registered in your employer's name, the declaration from your employer (stating you are an employee and the only one permitted to drive the car) should be a maximum of 1 month old.;"URL1 (""Company car"" - If the registration number is in the name of the employer) & URL2 (""Company car"" - Licence plate... in the name of the employer)";;
45;If the company car's registration is in the name of a partner or director of the company, what specific details from their passport or ID card need to be provided?;If the company car's registration is in the name of a partner or director, you must scan and upload their passport or ID card. If their citizen service number (BSN) is on the back, then both sides need to be scanned/copied.;"URL1 (""Company car"" - If the registration number is in the name of the partner or manager) & URL2 (""Company car"" - Licence plate... in the name of company partner or director)";;
46;If I apply online for a resident parking permit and the system needs more information from me, how will I be notified?;If you apply online and more information is needed, the municipality will send you an email.;"URL1 (""Apply"" section)";;
47;What's the phone number to call the City of Amsterdam about parking permits if I'm calling from abroad?;If you are calling from abroad about parking permits, the phone number for the City of Amsterdam is +31 20 624 1111.;URL1 (Contact information section);;
48;Is there a specific email address mentioned for Ukrainian refugees to send their parking permit application forms if they reside at a shelter or an address with an existing permit?;Yes, if you are a Ukrainian refugee residing at a shelter or at an address where a parking permit is already in use, you should send the application form to ua.parking@amsterdam.nl.;"URL2 (""Applying by post for a residents’ parking permit"" section)";;
49;If I live in a building with a garage but no parking space has ever been available to me, what specific Dutch-named form or declaration do I need to prove this for a postal application?;If you live in a building with a garage or car park and no parking space is, or has been in the past, available for you, you must prove this with the ‘geen eigen parkeerplaats’ (‘no own parking space’) declaration form.;"URL2 (""Applying by post..."" - Parking space at your residence)";;
